ob,r,d,dToCritical,dToDesirable,hasLM,Label
MOVE PLACE_2_12 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.01,8,10,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.01,0.02,7,9,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_9 PLACE_2_10,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_10 PLACE_3_10,0.0,0.06,-1,3,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.01,8,10,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.01,0.02,7,9,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_9 PLACE_2_10,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_10 PLACE_2_11,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_11 PLACE_3_11,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.01,8,10,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.01,0.02,7,9,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_9 PLACE_3_9,0.0,0.03,-1,4,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,10,0.0,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,9,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.0,-1,8,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.0,-1,7,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.0,-1,6,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.01,8,10,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.01,0.02,7,9,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_9 PLACE_2_10,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_10 PLACE_2_11,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_11 PLACE_2_12,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_12 PLACE_2_13,0.0,0.5,-1,1,0.0,N
MOVE PLACE_2_13 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.01,8,10,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.01,0.02,7,9,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.0,-1,7,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.0,-1,6,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.0,0.01,8,10,0.0,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,9,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.0,-1,8,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.0,-1,7,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.0,-1,6,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_11 PLACE_3_12,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_12 PLACE_3_13,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.03,-1,4,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_9 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_9 PLACE_2_10,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_10 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_8 PLACE_3_8,0.0,0.06,-1,3,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.01,-1,6,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,8,0.0,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,7,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.0,-1,6,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_9 PLACE_2_10,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_10 PLACE_2_11,0.0,0.5,-1,1,0.0,N
MOVE PLACE_2_11 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.03,0.05,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_6 PLACE_3_6,0.0,0.01,-1,5,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.02,0.03,6,8,0.0,N
MOVE PLACE_2_4 PLACE_3_4,0.0,0.0,-1,7,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.0,-1,6,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_9 PLACE_3_10,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_10 PLACE_3_11,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_7 PLACE_3_7,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_5 PLACE_3_5,0.0,0.03,-1,4,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_7 PLACE_2_8,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_8 PLACE_2_9,0.0,0.5,-1,1,0.0,N
MOVE PLACE_2_9 PLACE_3_9,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_3_3,0.0,0.0,-1,6,0.0,N
MOVE PLACE_3_3 PLACE_3_4,0.0,0.0,-1,5,0.0,N
MOVE PLACE_3_4 PLACE_3_5,0.0,0.01,-1,4,0.0,N
MOVE PLACE_3_5 PLACE_3_6,0.0,0.04,-1,3,0.0,N
MOVE PLACE_3_6 PLACE_3_7,0.0,0.11,-1,2,0.0,N
MOVE PLACE_3_7 PLACE_3_8,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.25,0.23,2,4,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.33,1,3,0.0,N
MOVE PLACE_2_7 PLACE_2_8,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_8 PLACE_3_8,0.0,0.33,-1,1,0.0,N
MOVE PLACE_3_8 PLACE_3_9,0.0,1.0,-1,0,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.06,0.09,4,6,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.12,0.15,3,5,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.25,0.23,2,4,0.0,N
