ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_9 PLACE_2_10,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.44,0.64,0.55,0.71,2.0,N
MOVE PLACE_2_10 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.38,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.56,0.29,0.65,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.61,0.29,0.68,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.31,0.46,0.29,0.56,0.31,0.16,10.0,12.0,0.39,0.59,0.5,0.67,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.44,0.64,0.55,0.71,2.0,N
MOVE PLACE_2_10 PLACE_2_11,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.5,0.5,0.6,0.58,2.0,N
MOVE PLACE_2_11 PLACE_2_12,0.31,0.38,0.38,0.47,0.4,0.27,10.0,12.0,0.33,0.55,0.4,0.62,1.0,Y
MOVE PLACE_2_12 PLACE_2_13,0.27,0.27,0.25,0.25,0.27,0.27,10.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_2_13 PLACE_3_13,0.25,0.27,0.32,0.25,0.24,0.27,10.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.31,0.46,0.29,0.56,0.31,0.16,10.0,12.0,0.39,0.59,0.5,0.67,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.44,0.64,0.55,0.71,2.0,N
MOVE PLACE_2_10 PLACE_2_11,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.5,0.5,0.6,0.58,2.0,N
MOVE PLACE_2_11 PLACE_3_11,0.34,0.27,0.42,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.56,0.29,0.65,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.61,0.29,0.68,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_3_6,0.56,0.29,0.65,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.61,0.29,0.68,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.59,0.29,0.63,0.38,0.16,0.16,12.0,12.0,0.55,0.59,0.62,0.67,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.56,0.29,0.65,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.61,0.29,0.68,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_3_7,0.61,0.29,0.68,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,2.0,N
MOVE PLACE_2_8 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.31,0.46,0.29,0.56,0.31,0.16,10.0,12.0,0.39,0.59,0.5,0.67,0.0,N
MOVE PLACE_2_9 PLACE_2_10,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.44,0.64,0.55,0.71,0.0,N
MOVE PLACE_2_10 PLACE_2_11,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.5,0.5,0.6,0.58,0.0,N
MOVE PLACE_2_11 PLACE_2_12,0.31,0.38,0.38,0.47,0.4,0.27,10.0,12.0,0.33,0.55,0.4,0.62,1.0,Y
MOVE PLACE_2_12 PLACE_2_13,0.27,0.27,0.25,0.25,0.27,0.27,10.0,12.0,0.59,0.59,0.67,0.67,0.0,N
MOVE PLACE_2_13 PLACE_3_13,0.25,0.27,0.32,0.25,0.24,0.27,10.0,12.0,0.62,0.45,0.68,0.5,0.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.31,0.46,0.29,0.56,0.31,0.16,10.0,12.0,0.39,0.59,0.5,0.67,2.0,N
MOVE PLACE_2_9 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.31,0.46,0.29,0.56,0.31,0.16,10.0,12.0,0.39,0.59,0.5,0.67,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.44,0.64,0.55,0.71,2.0,N
MOVE PLACE_2_10 PLACE_2_11,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.5,0.5,0.6,0.58,2.0,N
MOVE PLACE_2_11 PLACE_2_12,0.31,0.38,0.38,0.47,0.4,0.27,10.0,12.0,0.33,0.55,0.4,0.62,1.0,Y
MOVE PLACE_2_12 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,10.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.25,0.27,0.33,0.25,0.24,0.27,10.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.45,0.57,0.54,0.62,0.23,0.19,8.0,10.0,0.07,0.33,0.25,0.45,2.0,N
