@relation aggregate

@attribute r numeric
@attribute d numeric
@attribute dToCritical numeric
@attribute dToDesirable numeric
@attribute hasLM numeric
@attribute Label {N,Y}

@data
0.03,0.05,5,7,0,N
0.06,0.09,4,6,0,N
0.12,0.15,3,5,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
1,0,0,-1,0,Y
0,0.5,-1,1,0,N
0,1,-1,0,0,N
0.02,0.03,6,8,0,N
0.03,0.05,5,7,0,N
0.06,0.09,4,6,0,N
0,0.01,-1,5,0,N
0,0.01,-1,4,0,N
0,0.04,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.02,0.03,6,8,0,N
0,0,-1,7,0,N
0,0,-1,6,0,N
0,0,-1,5,0,N
0,0.01,-1,4,0,N
0,0.04,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.06,0.09,4,6,0,N
0.12,0.15,3,5,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.06,0.09,4,6,0,N
0.12,0.15,3,5,0,N
0,0.03,-1,4,0,N
0,0.04,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.06,0.09,4,6,0,N
0.12,0.15,3,5,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
1,0,0,-1,0,Y
0,0.5,-1,1,0,N
0,1,-1,0,0,N
0,0,-1,6,0,N
0,0,-1,5,0,N
0,0.01,-1,4,0,N
0,0.04,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.06,0.09,4,6,0,N
0.12,0.15,3,5,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
1,0,0,-1,0,Y
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.06,0.09,4,6,0,N
0.12,0.15,3,5,0,N
0.25,0.23,2,4,0,N
0,0.06,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.06,0.09,4,6,0,N
0,0.01,-1,5,0,N
0,0.01,-1,4,0,N
0,0.04,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
1,0,0,-1,0,Y
0,0.5,-1,1,0,N
0,1,-1,0,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0,0.02,-1,4,0,N
0,0.04,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.25,0.23,2,4,0,N
0.5,0.33,1,3,0,N
1,0,0,-1,0,Y
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.25,0.23,2,4,0,N
0,0.06,-1,3,0,N
0,0.11,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0,0.17,-1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0.5,0.42,1,2,0,N
1,0,0,-1,0,Y
0,1,-1,0,0,N
0.5,0.42,1,2,0,N
0,0.33,-1,1,0,N
0,1,-1,0,0,N
0,0.02,-1,12,?,N
0,0.03,-1,11,?,N
0,0.05,-1,10,?,N
0,0.08,-1,9,?,N
0,0.01,-1,8,?,N
0,0.01,-1,7,?,N
0,0.03,-1,6,?,N
0,0.05,-1,5,?,N
0,0.09,-1,4,?,N
0,0.17,-1,3,?,N
0,0.28,-1,2,?,N
0,0.33,-1,1,?,N
0,1,-1,0,?,N
0,0.02,-1,12,?,N
0,0.03,-1,11,?,N
0,0.05,-1,10,?,N
0,0.08,-1,9,?,N
0,0.13,-1,8,?,N
0,0.21,-1,7,?,N
0,0.31,-1,6,?,N
0,0.05,-1,5,?,N
0,0.09,-1,4,?,N
0,0.17,-1,3,?,N
0,0.11,-1,2,?,N
0,0.33,-1,1,?,N
0,1,-1,0,?,N
0,0.02,-1,12,?,N
0,0.03,-1,11,?,N
0,0.05,-1,10,?,N
0,0.08,-1,9,?,N
0,0.01,-1,8,?,N
0,0.01,-1,7,?,N
0,0.03,-1,6,?,N
0,0.05,-1,5,?,N
0,0.09,-1,4,?,N
