ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
MOVE PLACE_2_3 PLACE_3_3,0.5,0.15,0.04,1.6099999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,6,NaN,N
MOVE PLACE_3_3 PLACE_3_4,0.33,0.15,0.05,1.43,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.33,0.22,0.09,1.46,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,4,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.33,0.33,0.15,1.51,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,3,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.33,0.0,0.22,1.11,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,2,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.0,0.33,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,NaN,N
MOVE PLACE_3_8 PLACE_4_8,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.3,0.2,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,6,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.33,0.15,0.05,1.43,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,NaN,N
MOVE PLACE_3_4 PLACE_4_4,0.33,0.11,0.0,1.44,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,-1,NaN,N
MOVE PLACE_4_4 PLACE_4_5,0.33,0.33,0.0,1.6600000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,-1,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.33,1.0,0.0,2.33,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,NaN,Y
MOVE PLACE_4_6 PLACE_4_7,0.33,0.0,0.33,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,NaN,N
MOVE PLACE_4_7 PLACE_4_8,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.3,0.2,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,6,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.33,0.15,0.05,1.43,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.33,0.22,0.09,1.46,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,4,NaN,N
MOVE PLACE_3_5 PLACE_4_5,0.33,0.33,0.0,1.6600000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,-1,NaN,N
MOVE PLACE_4_5 PLACE_4_6,0.33,1.0,0.0,2.33,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,NaN,Y
MOVE PLACE_4_6 PLACE_4_7,0.33,0.0,0.33,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,NaN,N
MOVE PLACE_4_7 PLACE_4_8,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.3,0.2,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,6,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.26,0.26,1.5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.17,0.3,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,4,NaN,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.0,0.26,1.24,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,3,NaN,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.0,0.17,1.33,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,2,NaN,N
MOVE PLACE_2_8 PLACE_3_8,0.33,0.0,0.33,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,NaN,N
MOVE PLACE_3_8 PLACE_4_8,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.3,0.2,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,6,NaN,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.26,0.26,1.5,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,NaN,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.17,0.3,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,4,NaN,N
MOVE PLACE_2_6 PLACE_3_6,0.33,0.33,0.15,1.51,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,3,NaN,N
MOVE PLACE_3_6 PLACE_3_7,0.33,0.0,0.22,1.11,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,2,NaN,N
MOVE PLACE_3_7 PLACE_3_8,0.33,0.0,0.33,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,NaN,N
MOVE PLACE_3_8 PLACE_4_8,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,NaN,N
MOVE PLACE_2_3 PLACE_2_4,0.5,0.3,0.2,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,6,NaN,N
MOVE PLACE_2_4 PLACE_3_4,0.33,0.15,0.05,1.43,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,NaN,N
MOVE PLACE_3_4 PLACE_3_5,0.33,0.22,0.09,1.46,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,4,NaN,N
MOVE PLACE_3_5 PLACE_3_6,0.33,0.33,0.15,1.51,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,3,NaN,N
