ob,r,d,dToCritical,dToDesirable,hasLM,Label
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.08,4,6,0.0,N
MOVE PLACE_1_0 PLACE_1_1,0.25,0.06,3,7,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.25,0.06,2,8,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.0,1,-1,0.0,N
MOVE PLACE_1_3 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.11,0.09,6,7,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.13,7,7,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.06,0.13,8,8,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.07,0.3,8,6,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.11,0.09,6,7,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.14,0.07,4,8,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.19,0.05,3,9,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.08,0.03,7,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.03,7,9,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.04,8,9,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.13,0.03,8,10,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.16,0.02,5,11,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
MOVE PLACE_0_0 PLACE_1_0,0.03,0.01,9,11,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.02,0.0,10,12,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.02,0.0,11,13,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.02,0.0,12,14,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.08,0.03,7,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.03,7,9,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.27,0.05,6,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.12,0.09,7,8,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.13,8,8,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.07,0.12,10,9,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.08,0.3,10,7,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.07,0.02,8,10,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.04,7,9,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.07,0.06,8,9,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.05,0.09,9,9,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.04,0.08,11,11,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.04,0.2,11,9,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.22,0.04,7,9,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.16,0.04,5,10,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.19,0.09,3,11,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.23,0.12,3,12,0.0,N
MOVE PLACE_1_3 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.03,7,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.03,7,9,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.09,0.04,8,9,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.07,0.06,9,10,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.05,0.07,11,11,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.06,0.16,10,10,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.05,0.01,8,11,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.04,0.01,9,12,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.09,0.0,9,13,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.07,0.0,10,14,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.13,0.01,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.08,4,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.17,3,5,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.12,0.25,4,4,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.12,0.25,5,3,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.5,-1,2,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.13,0.01,6,9,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.09,0.01,7,10,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.09,0.01,8,11,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.09,0.01,8,12,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.09,0.01,9,13,0.0,N
MOVE PLACE_1_3 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.08,4,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.17,3,5,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.12,0.25,4,4,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.12,0.25,5,3,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.0,0.5,-1,2,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.08,4,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.17,3,5,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.25,0.12,2,6,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.17,1,7,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.13,0.01,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.08,4,6,0.0,N
MOVE PLACE_1_0 PLACE_1_1,0.25,0.06,3,7,0.0,N
MOVE PLACE_1_1 PLACE_1_2,0.25,0.06,2,8,0.0,N
MOVE PLACE_1_2 PLACE_1_3,0.33,0.0,1,-1,0.0,N
MOVE PLACE_1_3 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.13,0.01,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.11,0.09,6,7,0.0,N
MOVE PLACE_2_0 PLACE_3_0,0.09,0.13,7,7,0.0,N
MOVE PLACE_3_0 PLACE_3_1,0.06,0.13,8,8,0.0,N
UNLOCK PLACE_3_1 PLACE_3_2 KEY_1 SHAPE_1,0.07,0.3,8,6,0.0,N
MOVE PLACE_3_1 PLACE_3_2,0.0,1.0,-1,1,0.0,N
MOVE PLACE_3_2 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.13,0.01,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.1,0.06,5,7,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.17,0.08,4,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.17,0.17,3,5,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.25,0.12,2,6,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.17,1,7,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.08,0.03,7,8,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.22,0.04,7,9,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.16,0.04,5,10,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.19,0.09,3,11,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.23,0.12,3,12,0.0,N
MOVE PLACE_1_3 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.13,0.01,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.2,0.04,6,8,1.0,N
MOVE PLACE_0_0 PLACE_0_1,0.22,0.04,7,9,0.0,N
MOVE PLACE_0_1 PLACE_0_2,0.16,0.04,5,10,0.0,N
MOVE PLACE_0_2 PLACE_0_3,0.19,0.09,3,11,0.0,N
MOVE PLACE_0_3 PLACE_1_3,0.23,0.12,3,12,0.0,N
MOVE PLACE_1_3 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.06,0.01,7,10,1.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.03,7,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.03,7,9,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.27,0.05,6,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.12,0.09,7,8,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.31,0.07,7,9,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.25,0.04,4,11,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.04,0.02,7,9,1.0,N
PICKUP PLACE_0_0 KEY_0,0.08,0.03,7,8,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.13,0.03,7,9,0.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.27,0.05,6,8,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.12,0.09,7,8,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.31,0.07,7,9,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.25,0.04,4,11,0.0,N
MOVE PLACE_2_2 PLACE_2_3,1.0,0.0,0,-1,0.0,Y
MOVE PLACE_2_3 PLACE_3_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_1,0.08,0.04,6,8,0.67,N
PICKUP PLACE_0_0 KEY_0,0.17,0.05,5,8,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.1,4,7,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.0,0.06,-1,6,0.33,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.21,3,6,0.0,N
MOVE PLACE_1_0 PLACE_2_0,0.0,0.17,-1,5,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.0,0.19,-1,5,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.0,0.27,-1,6,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.0,1.0,-1,0,0.0,N
PICKUP PLACE_0_0 KEY_0,0.1,0.03,6,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.17,0.05,5,8,0.67,N
MOVE PLACE_0_0 PLACE_1_0,0.11,0.06,6,8,0.33,N
MOVE PLACE_1_0 PLACE_2_0,0.1,0.06,7,9,0.33,N
MOVE PLACE_2_0 PLACE_2_1,0.11,0.07,6,10,0.33,N
MOVE PLACE_2_1 PLACE_2_2,0.19,0.17,3,9,0.33,N
MOVE PLACE_2_2 PLACE_2_3,0.0,1.0,-1,0,0.33,N
PICKUP PLACE_0_0 KEY_1,0.08,0.04,6,8,0.67,N
PICKUP PLACE_0_0 KEY_0,0.17,0.05,5,8,0.67,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.5,0.1,4,7,0.67,N
